file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,55,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,16
style.css,56,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,10
style.css,57,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,24
style.css,58,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,59,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,60,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,4
style.css,61,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,62,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,30
style.css,63,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,7
style.css,64,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,65,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,66,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,5
style.css,67,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,68,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,29
style.css,69,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,19
